level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
2	5329375	5331128	#ff4100	1.0	Mapper Call select_task_options						1264
2	5337129	5337332	#FFC0CB	1.0	ProfTask <1>						1266
2	5343954	5523873	#ff00e3	1.0	main <1>						22995
2	5523873	8098013	#ff00e3	0.15	main <1> (waiting)						22995
2	8098013	8098374	#ff00e3	0.45	main <1> (ready)						22995
2	8098374	8098589	#ff00e3	1.0	main <1>						22995
1	5524947	5524965	#FFC0CB	1.0	ProfTask <3>						1268
1	5525091	5525104	#FFC0CB	1.0	ProfTask <3>						1270
1	5525704	5525717	#FFC0CB	1.0	ProfTask <4>						1272
1	5598538	5598602	#FFC0CB	1.0	ProfTask <11>						1274
1	5602266	5602283	#FFC0CB	1.0	ProfTask <25>						1276
1	5604018	5604048	#007eff	1.0	hit <39>						11927
1	5606209	5606256	#007eff	1.0	hit <55>						11929
1	5617116	5617161	#007eff	1.0	hit <136>						15586
1	5617528	5617539	#FFC0CB	1.0	ProfTask <138>						1278
1	5618724	5618767	#007eff	1.0	hit <148>						15596
1	5622876	5622919	#007eff	1.0	hit <179>						67653
1	5623147	5623187	#007eff	1.0	hit <181>						15618
1	5625039	5625079	#007eff	1.0	hit <195>						11939
1	5625454	5625494	#007eff	1.0	hit <198>						15631
1	5625851	5625861	#FFC0CB	1.0	ProfTask <200>						1280
1	5627204	5627247	#007eff	1.0	hit <211>						67655
1	5629492	5629508	#007eff	1.0	hit <228>						15656
1	5634084	5634126	#007eff	1.0	hit <262>						11946
1	5634549	5634559	#FFC0CB	1.0	ProfTask <265>						1282
1	5636796	5636838	#007eff	1.0	hit <282>						67666
1	5642462	5642477	#007eff	1.0	hit <324>						15725
1	5646116	5646157	#007eff	1.0	hit <351>						67678
1	5646397	5646446	#007eff	1.0	hit <353>						17
1	5646531	5646540	#FFC0CB	1.0	ProfTask <353>						1284
1	5653683	5653688	#FFC0CB	1.0	ProfTask <407>						1286
1	5654050	5654093	#007eff	1.0	hit <410>						11959
1	5654459	5654467	#FFC0CB	1.0	ProfTask <412>						1288
1	5657815	5657858	#007eff	1.0	hit <438>						15813
1	5657988	5657997	#FFC0CB	1.0	ProfTask <439>						1290
1	5658622	5658663	#007eff	1.0	hit <444>						15818
1	5659028	5659070	#007eff	1.0	hit <447>						25
1	5659166	5659174	#FFC0CB	1.0	ProfTask <447>						1292
1	5659228	5659232	#FFC0CB	1.0	ProfTask <448>						1294
1	5659965	5660008	#007eff	1.0	hit <454>						15822
1	5664121	5664162	#007eff	1.0	hit <485>						11964
1	5664533	5664543	#FFC0CB	1.0	ProfTask <487>						1296
1	5665205	5665221	#007eff	1.0	hit <493>						15851
1	5665768	5665783	#007eff	1.0	hit <497>						15855
1	5668428	5668437	#FFC0CB	1.0	ProfTask <516>						1298
1	5669553	5669568	#007eff	1.0	hit <525>						15875
1	5675045	5675087	#007eff	1.0	hit <566>						15908
1	5675436	5675445	#FFC0CB	1.0	ProfTask <568>						1300
1	5678971	5678977	#FFC0CB	1.0	ProfTask <595>						1302
1	5679344	5679388	#007eff	1.0	hit <598>						15935
1	5679752	5679760	#FFC0CB	1.0	ProfTask <600>						1304
1	5682186	5682229	#007eff	1.0	hit <619>						11971
1	5682484	5682526	#007eff	1.0	hit <621>						11972
1	5686855	5686897	#007eff	1.0	hit <653>						15973
1	5687257	5687287	#007eff	1.0	hit <656>						15975
1	5691327	5691369	#007eff	1.0	hit <686>						16001
1	5707487	5707510	#FFC0CB	1.0	ProfTask <805>						1306
1	5711318	5711336	#007eff	1.0	hit <834>						11986
1	5713635	5713677	#007eff	1.0	hit <851>						16129
1	5714618	5714628	#FFC0CB	1.0	ProfTask <858>						1308
1	5716057	5716099	#007eff	1.0	hit <869>						11991
1	5716459	5716467	#FFC0CB	1.0	ProfTask <871>						1310
1	5722126	5722170	#007eff	1.0	hit <914>						11996
1	5722675	5722690	#007eff	1.0	hit <918>						16179
1	5723757	5723798	#007eff	1.0	hit <926>						45
1	5723885	5723894	#FFC0CB	1.0	ProfTask <926>						1312
1	5723944	5723949	#FFC0CB	1.0	ProfTask <927>						1314
1	5724840	5724881	#007eff	1.0	hit <934>						16189
1	5725152	5725167	#007eff	1.0	hit <936>						16190
1	5730023	5730065	#007eff	1.0	hit <972>						16217
1	5730424	5730433	#FFC0CB	1.0	ProfTask <974>						1316
1	5733395	5733448	#007eff	1.0	hit <997>						12002
1	5738277	5738319	#007eff	1.0	hit <1033>						67772
1	5738558	5738608	#007eff	1.0	hit <1035>						16264
1	5740828	5740843	#007eff	1.0	hit <1052>						16276
1	5749647	5749662	#007eff	1.0	hit <1117>						16331
1	5751550	5751591	#007eff	1.0	hit <1131>						16345
1	5752100	5752114	#007eff	1.0	hit <1135>						16349
1	5752417	5752427	#FFC0CB	1.0	ProfTask <1137>						1318
1	5756213	5756226	#FFC0CB	1.0	ProfTask <1165>						1320
1	5760876	5760920	#007eff	1.0	hit <1200>						12015
1	5761278	5761285	#FFC0CB	1.0	ProfTask <1202>						1322
1	5763294	5763337	#007eff	1.0	hit <1218>						67796
1	5769740	5769747	#FFC0CB	1.0	ProfTask <1265>						1324
1	5771467	5771483	#007eff	1.0	hit <1278>						16462
1	5773490	5773506	#007eff	1.0	hit <1293>						16474
1	5773950	5773959	#FFC0CB	1.0	ProfTask <1296>						1326
1	5774637	5774649	#FFC0CB	1.0	ProfTask <1301>						1328
1	5776338	5776381	#007eff	1.0	hit <1314>						16489
1	5776632	5776675	#007eff	1.0	hit <1316>						67807
1	5777940	5777955	#007eff	1.0	hit <1326>						16498
1	5786449	5786492	#007eff	1.0	hit <1389>						12033
1	5788327	5788368	#007eff	1.0	hit <1403>						12037
1	5788614	5788655	#007eff	1.0	hit <1405>						63
1	5788735	5788744	#FFC0CB	1.0	ProfTask <1405>						1330
1	5792639	5792644	#FFC0CB	1.0	ProfTask <1435>						1332
1	5795886	5795890	#FFC0CB	1.0	ProfTask <1459>						1334
1	5799092	5799095	#FFC0CB	1.0	ProfTask <1483>						1336
1	5803466	5803510	#007eff	1.0	hit <1516>						16624
1	5803992	5804000	#FFC0CB	1.0	ProfTask <1519>						1338
1	5804017	5804020	#FFC0CB	1.0	ProfTask <1520>						1340
1	5808282	5808293	#FFC0CB	1.0	ProfTask <1552>						1342
1	5810070	5810114	#007eff	1.0	hit <1566>						12052
1	5811536	5811552	#007eff	1.0	hit <1577>						12055
1	5814310	5814354	#007eff	1.0	hit <1598>						12058
1	5820163	5820205	#007eff	1.0	hit <1642>						12066
1	5821618	5821661	#007eff	1.0	hit <1653>						16717
1	5822035	5822050	#007eff	1.0	hit <1656>						16719
1	5823359	5823400	#007eff	1.0	hit <1666>						12070
1	5823660	5823675	#007eff	1.0	hit <1668>						16726
1	5824856	5824897	#007eff	1.0	hit <1677>						67870
1	5825397	5825415	#FFC0CB	1.0	ProfTask <1680>						1344
1	5825683	5825687	#FFC0CB	1.0	ProfTask <1683>						1346
1	5828328	5828372	#007eff	1.0	hit <1703>						16755
1	5830220	5830228	#FFC0CB	1.0	ProfTask <1717>						1348
1	5832434	5832478	#007eff	1.0	hit <1734>						12075
1	5836893	5836910	#007eff	1.0	hit <1768>						16803
1	5838095	5838136	#007eff	1.0	hit <1777>						12081
1	5841697	5841741	#007eff	1.0	hit <1804>						12085
1	5847416	5847427	#FFC0CB	1.0	ProfTask <1847>						1350
1	5848439	5848483	#007eff	1.0	hit <1855>						67892
1	5848755	5848787	#FFC0CB	1.0	ProfTask <1857>						1352
1	5855136	5855152	#007eff	1.0	hit <1906>						12097
1	5864514	5864558	#007eff	1.0	hit <1977>						67912
1	5864782	5864824	#007eff	1.0	hit <1979>						16954
1	5867086	5867095	#FFC0CB	1.0	ProfTask <1996>						1354
1	5873015	5873060	#007eff	1.0	hit <2041>						67924
1	5883087	5883131	#007eff	1.0	hit <2117>						17054
1	5883496	5883506	#FFC0CB	1.0	ProfTask <2119>						1356
1	5888411	5888454	#007eff	1.0	hit <2157>						12124
1	5890092	5890107	#007eff	1.0	hit <2170>						17093
1	5890709	5890719	#FFC0CB	1.0	ProfTask <2174>						1358
1	5890758	5890773	#007eff	1.0	hit <2175>						17096
1	5891698	5891739	#007eff	1.0	hit <2182>						12127
1	5892358	5892398	#007eff	1.0	hit <2187>						12130
1	5893063	5893073	#FFC0CB	1.0	ProfTask <2192>						1360
1	5894355	5894399	#007eff	1.0	hit <2202>						17112
1	5895611	5895620	#FFC0CB	1.0	ProfTask <2211>						1362
1	5900259	5900303	#007eff	1.0	hit <2246>						17151
1	5900659	5900668	#FFC0CB	1.0	ProfTask <2248>						1364
1	5904467	5904513	#007eff	1.0	hit <2277>						17177
1	5908228	5908274	#007eff	1.0	hit <2305>						12134
1	5908616	5908632	#007eff	1.0	hit <2308>						17203
1	5921257	5921273	#007eff	1.0	hit <2403>						17280
1	5925931	5925941	#FFC0CB	1.0	ProfTask <2438>						1366
1	5983068	5983114	#007eff	1.0	hit <2578>						67987
1	5986427	5986436	#FFC0CB	1.0	ProfTask <2603>						1368
1	5989560	5989603	#007eff	1.0	hit <2627>						67994
1	5989769	5989794	#FFC0CB	1.0	ProfTask <2628>						1370
1	5992480	5992524	#007eff	1.0	hit <2649>						17467
1	5994050	5994065	#007eff	1.0	hit <2661>						17476
1	5997119	5997160	#007eff	1.0	hit <2684>						12170
1	5997497	5997512	#007eff	1.0	hit <2687>						17493
1	6002547	6002590	#007eff	1.0	hit <2725>						12176
1	6002952	6002962	#FFC0CB	1.0	ProfTask <2727>						1372
1	6002976	6002980	#FFC0CB	1.0	ProfTask <2728>						1374
1	6009703	6009747	#007eff	1.0	hit <2779>						12181
1	6010755	6010799	#007eff	1.0	hit <2787>						17566
1	6011274	6011315	#007eff	1.0	hit <2791>						17568
1	6011666	6011676	#FFC0CB	1.0	ProfTask <2793>						1376
