time	count
7066471.00	1.00
7066487.00	0.00
7066537.00	1.00
7066940.00	0.00
7067000.00	1.00
7067016.00	0.00
7067067.00	1.00
7067079.00	0.00
7067128.00	1.00
7067140.00	0.00
7067188.00	1.00
7067199.00	0.00
7067247.00	1.00
7067259.00	0.00
7067306.00	1.00
7067318.00	0.00
7067365.00	1.00
7067376.00	0.00
7067445.00	1.00
7067457.00	0.00
7067505.00	1.00
7067517.00	0.00
7067564.00	1.00
7067575.00	0.00
7067623.00	1.00
7067634.00	0.00
7067681.00	1.00
7067693.00	0.00
7067742.00	1.00
7067753.00	0.00
7067801.00	1.00
7067812.00	0.00
7067859.00	1.00
7067870.00	0.00
7067920.00	1.00
7067936.00	0.00
7067987.00	1.00
7068393.00	0.00
7068460.00	1.00
7068476.00	0.00
7068528.00	1.00
7068540.00	0.00
7068591.00	1.00
7068602.00	0.00
7068650.00	1.00
7068661.00	0.00
7068710.00	1.00
7068721.00	0.00
7068768.00	1.00
7068779.00	0.00
7068827.00	1.00
7068838.00	0.00
7068887.00	1.00
7068898.00	0.00
7068955.00	1.00
7068967.00	0.00
7069014.00	1.00
7069026.00	0.00
7069073.00	1.00
7069085.00	0.00
7069132.00	1.00
7069144.00	0.00
7069191.00	1.00
7069203.00	0.00
7069258.00	1.00
7069269.00	0.00
7069317.00	1.00
7069328.00	0.00
7069377.00	1.00
7069393.00	0.00
7069449.00	1.00
7069855.00	0.00
7069914.00	1.00
7069930.00	0.00
7069992.00	1.00
7070005.00	0.00
7070061.00	1.00
7070073.00	0.00
7070129.00	1.00
7070141.00	0.00
7070196.00	1.00
7070208.00	0.00
7070259.00	1.00
7070270.00	0.00
7070325.00	1.00
7070336.00	0.00
7070386.00	1.00
7070397.00	0.00
7070452.00	1.00
7070464.00	0.00
7070511.00	1.00
7070523.00	0.00
7070571.00	1.00
7070583.00	0.00
7070630.00	1.00
7070641.00	0.00
7070689.00	1.00
7070700.00	0.00
7070748.00	1.00
7070759.00	0.00
7070806.00	1.00
7070817.00	0.00
7070866.00	1.00
7070883.00	0.00
7070932.00	1.00
7071344.00	0.00
7071418.00	1.00
7071435.00	0.00
7071495.00	1.00
7071508.00	0.00
7071557.00	1.00
7071569.00	0.00
7071617.00	1.00
7071629.00	0.00
7071677.00	1.00
7071688.00	0.00
7071735.00	1.00
7071747.00	0.00
7071795.00	1.00
7071806.00	0.00
7071855.00	1.00
7071866.00	0.00
7071915.00	1.00
7071927.00	0.00
7071975.00	1.00
7071986.00	0.00
7072034.00	1.00
7072045.00	0.00
7072092.00	1.00
7072104.00	0.00
7072152.00	1.00
7072163.00	0.00
7072212.00	1.00
7072223.00	0.00
7072271.00	1.00
7072282.00	0.00
7072332.00	1.00
7072348.00	0.00
7072398.00	1.00
7072810.00	0.00
7072871.00	1.00
7072887.00	0.00
7072939.00	1.00
7072951.00	0.00
7073000.00	1.00
7073011.00	0.00
7073059.00	1.00
7073071.00	0.00
7073119.00	1.00
7073130.00	0.00
7073178.00	1.00
7073190.00	0.00
7073237.00	1.00
7073249.00	0.00
7073296.00	1.00
7073308.00	0.00
7073355.00	1.00
7073367.00	0.00
7073421.00	1.00
7073433.00	0.00
7073483.00	1.00
7073494.00	0.00
7073541.00	1.00
7073552.00	0.00
7073600.00	1.00
7073612.00	0.00
7073659.00	1.00
7073670.00	0.00
7073719.00	1.00
7073730.00	0.00
