time	count
5610089.00	0.25
5610102.00	0.00
5610139.00	0.25
5610142.00	0.00
5610221.00	0.25
5610234.00	0.00
5610272.00	0.25
5610274.00	0.00
5610356.00	0.25
5610369.00	0.00
5610410.00	0.25
5610413.00	0.00
5610496.00	0.25
5610510.00	0.00
5610548.00	0.25
5610550.00	0.00
5610629.00	0.25
5610642.00	0.00
5610679.00	0.25
5610682.00	0.00
5610757.00	0.25
5610770.00	0.00
5610807.00	0.25
5610814.00	0.00
5610890.00	0.25
5610903.00	0.00
5610940.00	0.25
5610943.00	0.00
5611028.00	0.25
5611041.00	0.00
5611076.00	0.25
5611079.00	0.00
5611163.00	0.25
5611177.00	0.00
5611213.00	0.25
5611216.00	0.00
5611296.00	0.25
5611309.00	0.00
5611346.00	0.25
5611349.00	0.00
5611436.00	0.25
5611450.00	0.00
5611487.00	0.25
5611494.00	0.00
5611566.00	0.25
5611579.00	0.00
5611617.00	0.25
5611620.00	0.00
5611700.00	0.25
5611713.00	0.00
5611751.00	0.25
5611754.00	0.00
5611835.00	0.25
5611848.00	0.00
5611902.00	0.25
5611906.00	0.00
5611969.00	0.25
5611984.00	0.00
5612032.00	0.25
5612036.00	0.00
5612102.00	0.25
5612116.00	0.00
5612153.00	0.25
5612156.00	0.00
5612234.00	0.25
5612247.00	0.00
5612284.00	0.25
5612287.00	0.00
5612361.00	0.25
5612374.00	0.00
5612416.00	0.25
5612422.00	0.00
5612501.00	0.25
5612515.00	0.00
5612552.00	0.25
5612555.00	0.00
5612637.00	0.25
5612650.00	0.00
5612688.00	0.25
5612691.00	0.00
5612773.00	0.25
5612786.00	0.00
5612823.00	0.25
5612826.00	0.00
5612911.00	0.25
5612930.00	0.00
5612987.00	0.25
5612996.00	0.00
5613048.00	0.25
5613062.00	0.00
5613111.00	0.25
5613124.00	0.00
5613176.00	0.25
5613190.00	0.00
5613238.00	0.25
5613242.00	0.00
5613310.00	0.25
5613324.00	0.00
5613365.00	0.25
5613370.00	0.00
5613448.00	0.25
5613462.00	0.00
5613510.00	0.25
5613514.00	0.00
5613584.00	0.25
5613598.00	0.00
5613636.00	0.25
5613649.00	0.00
5613720.00	0.25
5613734.00	0.00
5613772.00	0.25
5613775.00	0.00
5613855.00	0.25
5613869.00	0.00
5613906.00	0.25
5613909.00	0.00
5613990.00	0.25
5614003.00	0.00
5614041.00	0.25
5614046.00	0.00
5614118.00	0.25
5614131.00	0.00
5614168.00	0.25
5614175.00	0.00
5614252.00	0.25
5614265.00	0.00
5614302.00	0.25
5614305.00	0.00
5614386.00	0.25
5614399.00	0.00
5614443.00	0.25
5614446.00	0.00
5614526.00	0.25
5614540.00	0.00
5614577.00	0.25
5614580.00	0.00
5614662.00	0.25
5614675.00	0.00
5614712.00	0.25
5614715.00	0.00
5614795.00	0.25
5614808.00	0.00
5614846.00	0.25
5614849.00	0.00
5614924.00	0.25
5614937.00	0.00
5614975.00	0.25
5614982.00	0.00
5615080.00	0.25
5615104.00	0.00
5615171.00	0.25
5615179.00	0.00
5615205.00	0.25
5615226.00	0.00
5615283.00	0.25
5615286.00	0.00
5615339.00	0.25
5615353.00	0.00
5615420.00	0.25
5615430.00	0.00
5615488.00	0.25
5615504.00	0.00
5615554.00	0.25
5615559.00	0.00
5615624.00	0.25
5615638.00	0.00
5615677.00	0.25
5615680.00	0.00
5615752.00	0.25
5615765.00	0.00
5615803.00	0.25
5615806.00	0.00
5615884.00	0.25
5615898.00	0.00
5615935.00	0.25
5615938.00	0.00
5616020.00	0.25
5616034.00	0.00
5616071.00	0.25
5616074.00	0.00
5616152.00	0.25
5616165.00	0.00
5616202.00	0.25
5616211.00	0.00
5616290.00	0.25
5616303.00	0.00
5616341.00	0.25
5616344.00	0.00
5616427.00	0.25
5616440.00	0.00
5616478.00	0.25
5616481.00	0.00
5616567.00	0.25
5616580.00	0.00
5616617.00	0.25
5616620.00	0.00
5616695.00	0.25
5616708.00	0.00
5616746.00	0.25
5616748.00	0.00
5616828.00	0.25
5616840.00	0.00
5616878.00	0.25
5616880.00	0.00
5616991.00	0.25
5617049.00	0.00
5617116.00	0.25
5617161.00	0.00
5617233.00	0.25
5617235.00	0.50
5617242.00	0.25
5617248.00	0.00
5617256.00	0.25
5617259.00	0.00
5617281.00	0.25
5617284.00	0.00
5617394.00	0.25
5617470.00	0.00
5617503.00	0.25
5617517.00	0.00
5617528.00	0.25
5617539.00	0.00
5617549.00	0.25
5617552.00	0.00
5617634.00	0.25
5617648.00	0.00
5617685.00	0.25
5617688.00	0.00
5617768.00	0.25
5617781.00	0.00
5617818.00	0.25
5617824.00	0.00
5617901.00	0.25
5617914.00	0.00
5617952.00	0.25
5617955.00	0.00
5618036.00	0.25
5618049.00	0.00
5618087.00	0.25
5618089.00	0.00
5618171.00	0.25
5618184.00	0.00
5618221.00	0.25
5618224.00	0.00
5618302.00	0.25
5618315.00	0.00
5618352.00	0.25
5618355.00	0.00
5618433.00	0.25
5618447.00	0.00
5618483.00	0.25
5618490.00	0.00
5618607.00	0.25
5618666.00	0.00
5618724.00	0.25
5618767.00	0.00
5618807.00	0.25
5618816.00	0.00
5618834.00	0.25
5618848.00	0.00
5618886.00	0.25
5618889.00	0.00
5618939.00	0.25
5618964.00	0.00
5618976.00	0.25
5618990.00	0.00
5619030.00	0.25
5619033.00	0.00
5619109.00	0.25
5619123.00	0.00
5619161.00	0.25
5619164.00	0.00
5619241.00	0.25
5619254.00	0.00
5619292.00	0.25
5619294.00	0.00
5619367.00	0.25
5619381.00	0.00
5619422.00	0.25
5619432.00	0.00
5619506.00	0.25
5619520.00	0.00
5619558.00	0.25
5619561.00	0.00
5619640.00	0.25
5619653.00	0.00
5619704.00	0.25
5619709.00	0.00
5619776.00	0.25
5619791.00	0.00
5619828.00	0.25
5619831.00	0.00
5619909.00	0.25
5619923.00	0.00
5619960.00	0.25
5619963.00	0.00
5620040.00	0.25
5620053.00	0.00
5620103.00	0.25
5620107.00	0.00
5620168.00	0.25
5620181.00	0.00
5620219.00	0.25
5620222.00	0.00
5620325.00	0.25
5620346.00	0.00
5620413.00	0.25
5620421.00	0.00
5620442.00	0.25
5620462.00	0.00
5620519.00	0.25
5620523.00	0.00
5620583.00	0.25
5620599.00	0.00
5620652.00	0.25
5620661.00	0.00
5620722.00	0.25
5620737.00	0.00
5620785.00	0.25
5620791.00	0.00
5620857.00	0.25
5620871.00	0.00
5620918.00	0.25
5620929.00	0.00
5620984.00	0.25
5620998.00	0.00
5621036.00	0.25
5621038.00	0.00
5621119.00	0.25
5621132.00	0.00
5621169.00	0.25
5621180.00	0.00
5621254.00	0.25
5621267.00	0.00
5621305.00	0.25
5621307.00	0.00
5621388.00	0.25
5621401.00	0.00
5621444.00	0.25
5621446.00	0.00
5621531.00	0.25
5621545.00	0.00
5621583.00	0.25
5621586.00	0.00
5621666.00	0.25
5621679.00	0.00
5621716.00	0.25
5621719.00	0.00
5621793.00	0.25
5621806.00	0.00
5621843.00	0.25
5621846.00	0.00
5621925.00	0.25
5621938.00	0.00
5621975.00	0.25
5621981.00	0.00
5622058.00	0.25
5622071.00	0.00
5622108.00	0.25
5622111.00	0.00
5622190.00	0.25
5622203.00	0.00
5622247.00	0.25
5622250.00	0.00
5622322.00	0.25
5622335.00	0.00
5622373.00	0.25
5622376.00	0.00
5622459.00	0.25
5622472.00	0.00
5622518.00	0.25
5622523.00	0.00
5622590.00	0.25
5622603.00	0.00
5622640.00	0.25
5622647.00	0.00
5622753.00	0.25
5622809.00	0.00
5622876.00	0.25
5622919.00	0.00
5622953.00	0.25
5622962.00	0.00
5622995.00	0.25
5623011.00	0.00
5623046.00	0.25
5623057.00	0.50
5623060.00	0.25
5623067.00	0.00
5623147.00	0.25
5623187.00	0.00
5623263.00	0.25
5623264.00	0.50
5623266.00	0.25
5623279.00	0.00
5623319.00	0.25
5623322.00	0.00
5623409.00	0.25
5623423.00	0.00
5623462.00	0.25
5623465.00	0.00
5623540.00	0.25
5623554.00	0.00
5623591.00	0.25
5623598.00	0.00
5623674.00	0.25
5623687.00	0.00
5623725.00	0.25
5623728.00	0.00
5623808.00	0.25
5623822.00	0.00
5623859.00	0.25
5623862.00	0.00
5623942.00	0.25
5623955.00	0.00
5623992.00	0.25
5623995.00	0.00
5624075.00	0.25
5624088.00	0.00
5624125.00	0.25
5624128.00	0.00
5624206.00	0.25
5624220.00	0.00
5624257.00	0.25
5624260.00	0.00
5624334.00	0.25
5624347.00	0.00
5624384.00	0.25
5624391.00	0.00
5624472.00	0.25
5624485.00	0.00
5624520.00	0.25
5624523.00	0.00
5624609.00	0.25
5624622.00	0.00
5624659.00	0.25
5624662.00	0.00
5624743.00	0.25
5624756.00	0.00
5624792.00	0.25
5624795.00	0.00
5624921.00	0.25
5624982.00	0.00
5625039.00	0.25
5625079.00	0.00
5625129.00	0.25
5625137.00	0.00
5625154.00	0.25
5625172.00	0.50
5625174.00	0.25
5625176.00	0.00
5625238.00	0.25
5625243.00	0.00
5625331.00	0.25
5625387.00	0.00
5625454.00	0.25
5625494.00	0.00
5625535.00	0.25
5625538.00	0.00
5625572.00	0.25
5625588.00	0.00
5625601.00	0.25
5625608.00	0.00
5625639.00	0.25
5625642.00	0.00
5625738.00	0.25
